# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/attendance-lowest
# rows: 7366 (excluding this header and the column row)
# ranking: Texas campuses with the lowest attendance in 2025-26
# population: 7,366 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 280 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
80,7366,0,071902009,Jefferson HS,El Paso ISD,D,83.7,880,https://txschools.net/campus/jefferson-hs-071902009
81,7366,0,102902006,Marshall Early Graduation School,Marshall ISD,B,83.8,91,https://txschools.net/campus/marshall-early-graduation-school-102902006
82,7366,0,170906012,Stephens Academy,Magnolia ISD,B,83.9,80,https://txschools.net/campus/stephens-academy-170906012
83,7366,0,220905009,Polytechnic HS,Fort Worth ISD,C,84.1,1253,https://txschools.net/campus/polytechnic-hs-220905009
84,7366,0,220907039,Keller Compass Center,Keller ISD,B,84.2,32,https://txschools.net/campus/keller-compass-center-220907039
85,7366,2,043914004,Achieve Academy,Wylie ISD,A,84.4,122,https://txschools.net/campus/achieve-academy-043914004
85,7366,2,101912310,Houston Math Science and Technology Center,Houston ISD,A,84.4,2074,https://txschools.net/campus/houston-math-science-and-technology-center-101912310
85,7366,2,015905002,John F Kennedy HS,Edgewood ISD,C,84.4,944,https://txschools.net/campus/john-f-kennedy-hs-015905002
88,7366,0,101912004,Furr HS,Houston ISD,B,84.5,724,https://txschools.net/campus/furr-hs-101912004
89,7366,0,227901006,Northeast Early College HS,Austin ISD,C,84.6,952,https://txschools.net/campus/northeast-early-college-hs-227901006
90,7366,2,220918002,Elmer C Watson HS,Eagle Mt-Saginaw ISD,A,84.7,98,https://txschools.net/campus/elmer-c-watson-hs-220918002
90,7366,2,227901051,Martin MS,Austin ISD,F,84.7,308,https://txschools.net/campus/martin-ms-227901051
90,7366,2,101912016,Washington B T HS,Houston ISD,A,84.7,704,https://txschools.net/campus/washington-b-t-hs-101912016
93,7366,1,046902201,Comal Academy,Comal ISD,A,84.8,101,https://txschools.net/campus/comal-academy-046902201
93,7366,1,191901004,Midway Alternative HS,Canyon ISD,B,84.8,39,https://txschools.net/campus/midway-alternative-hs-191901004
95,7366,0,015907066,Tafolla College Prep MS,San Antonio ISD,F,84.9,348,https://txschools.net/campus/tafolla-college-prep-ms-015907066
96,7366,1,071902003,Bowie HS,El Paso ISD,C,85,881,https://txschools.net/campus/bowie-hs-071902003
96,7366,1,232903001,Uvalde HS,Uvalde CISD,D,85,1142,https://txschools.net/campus/uvalde-hs-232903001
98,7366,0,057905005,Moises E Molina HS,Dallas ISD,B,85.1,1736,https://txschools.net/campus/moises-e-molina-hs-057905005
99,7366,3,212905010,Alvin V Anderson Rise Academy,Tyler ISD,A,85.3,77,https://txschools.net/campus/alvin-v-anderson-rise-academy-212905010
99,7366,3,178904047,Driscoll MS,Corpus Christi ISD,D,85.3,479,https://txschools.net/campus/driscoll-ms-178904047
99,7366,3,086901002,Gillespie County HS,Fredericksburg ISD,A,85.3,20,https://txschools.net/campus/gillespie-county-hs-086901002
99,7366,3,027903003,Quest HS,Burnet CISD,A,85.3,31,https://txschools.net/campus/quest-hs-027903003
103,7366,0,227901058,Mendez MS,Austin ISD,D,85.4,283,https://txschools.net/campus/mendez-ms-227901058
104,7366,2,101919003,Andy Dekaney HS,Spring ISD,C,85.5,2344,https://txschools.net/campus/andy-dekaney-hs-101919003
104,7366,2,015907007,Jefferson HS,San Antonio ISD,B,85.5,1574,https://txschools.net/campus/jefferson-hs-015907007
104,7366,2,101912009,Wisdom HS,Houston ISD,B,85.5,1607,https://txschools.net/campus/wisdom-hs-101912009
107,7366,1,126902003,Crossroads HS,Burleson ISD,B,85.6,56,https://txschools.net/campus/crossroads-hs-126902003
107,7366,1,094901002,Mercer & Blumberg Lrn Ctr,Seguin ISD,A,85.6,65,https://txschools.net/campus/mercer-blumberg-lrn-ctr-094901002
109,7366,0,015905003,Memorial HS,Edgewood ISD,C,85.7,775,https://txschools.net/campus/memorial-hs-015905003
110,7366,1,015907065,Davis College Prep MS,San Antonio ISD,F,85.9,264,https://txschools.net/campus/davis-college-prep-ms-015907065
110,7366,1,120901004,Edna Alternative,Edna ISD,C,85.9,16,https://txschools.net/campus/edna-alternative-120901004
112,7366,2,057905023,David W Carter HS,Dallas ISD,A,86,909,https://txschools.net/campus/david-w-carter-hs-057905023
112,7366,2,179901002,Ludi Pena Martin Accelerated Education Center,Perryton ISD,B,86,17,https://txschools.net/campus/ludi-pena-martin-accelerated-education-center-179901002
112,7366,2,232903044,Morales JH,Uvalde CISD,F,86,654,https://txschools.net/campus/morales-jh-232903044
115,7366,1,084906002,La Marque HS,Texas City ISD,B,86.1,738,https://txschools.net/campus/la-marque-hs-084906002
115,7366,1,227907001,Manor HS,Manor ISD,C,86.1,2210,https://txschools.net/campus/manor-hs-227907001
117,7366,2,057912005,Barbara Cardwell Career Preparatory Center,Irving ISD,A,86.2,241,https://txschools.net/campus/barbara-cardwell-career-preparatory-center-057912005
117,7366,2,227910001,Del Valle HS,Del Valle ISD,C,86.2,3589,https://txschools.net/campus/del-valle-hs-227910001
117,7366,2,227904003,John B Connally HS,Pflugerville ISD,B,86.2,1846,https://txschools.net/campus/john-b-connally-hs-227904003
120,7366,3,123910014,Beaumont United HS,Beaumont ISD,C,86.3,1864,https://txschools.net/campus/beaumont-united-hs-123910014
