# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/overall-score-gains
# rows: 7283 (excluding this header and the column row)
# ranking: Texas campuses with the largest overall score gains since 2021-22
# population: 7,283 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 363 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,2021_22,2025_26,enrollment,url
59,7283,4,015907060,Poe MS,San Antonio ISD,D,25,44,69,418,https://txschools.net/campus/poe-ms-015907060
64,7283,10,223901005,Brownfield Education Center,Brownfield ISD,A,24,67,91,39,https://txschools.net/campus/brownfield-education-center-223901005
64,7283,10,086901001,Fredericksburg HS,Fredericksburg ISD,A,24,70,94,1015,https://txschools.net/campus/fredericksburg-hs-086901001
64,7283,10,101912167,Harris R P Elem,Houston ISD,B,24,64,88,327,https://txschools.net/campus/harris-r-p-elem-101912167
64,7283,10,227904003,John B Connally HS,Pflugerville ISD,B,24,56,80,1846,https://txschools.net/campus/john-b-connally-hs-227904003
64,7283,10,181908001,Lit Cypr-Mrceville HS,Little Cypress-Mauriceville CISD,A,24,67,91,993,https://txschools.net/campus/lit-cypr-mrceville-hs-181908001
64,7283,10,102902006,Marshall Early Graduation School,Marshall ISD,B,24,56,80,91,https://txschools.net/campus/marshall-early-graduation-school-102902006
64,7283,10,071908001,Tornillo HS,Tornillo ISD,B,24,63,87,225,https://txschools.net/campus/tornillo-hs-071908001
64,7283,10,228903001,Trinity HS,Trinity ISD,B,24,61,85,368,https://txschools.net/campus/trinity-hs-228903001
64,7283,10,181907001,Vidor HS,Vidor ISD,A,24,67,91,1169,https://txschools.net/campus/vidor-hs-181907001
64,7283,10,123910008,West Brook Sr HS,Beaumont ISD,B,24,59,83,2166,https://txschools.net/campus/west-brook-sr-hs-123910008
64,7283,10,101912017,Westbury HS,Houston ISD,A,24,68,92,1756,https://txschools.net/campus/westbury-hs-101912017
75,7283,18,220901001,Arlington HS,Arlington ISD,B,23,65,88,2677,https://txschools.net/campus/arlington-hs-220901001
75,7283,18,011901001,Bastrop HS,Bastrop ISD,B,23,65,88,1739,https://txschools.net/campus/bastrop-hs-011901001
75,7283,18,057916005,Berkner HS,Richardson ISD,B,23,63,86,2261,https://txschools.net/campus/berkner-hs-057916005
75,7283,18,011901109,Bluebonnet Elem,Bastrop ISD,B,23,59,82,701,https://txschools.net/campus/bluebonnet-elem-011901109
75,7283,18,146902002,Dayton HS,Dayton ISD,B,23,66,89,1665,https://txschools.net/campus/dayton-hs-146902002
75,7283,18,238904001,Grandfalls-Royalty School,Grandfalls-Royalty ISD,C,23,52,75,121,https://txschools.net/campus/grandfalls-royalty-school-238904001
75,7283,18,057907106,H Bob Daniel Sr Elem,Duncanville ISD,B,23,59,82,356,https://txschools.net/campus/h-bob-daniel-sr-elem-057907106
75,7283,18,057912002,Irving HS,Irving ISD,B,23,61,84,2211,https://txschools.net/campus/irving-hs-057912002
75,7283,18,161909001,McGregor HS,McGregor ISD,A,23,70,93,432,https://txschools.net/campus/mcgregor-hs-161909001
75,7283,18,108907001,Mercedes HS,Mercedes ISD,B,23,58,81,853,https://txschools.net/campus/mercedes-hs-108907001
75,7283,18,057905005,Moises E Molina HS,Dallas ISD,B,23,64,87,1736,https://txschools.net/campus/moises-e-molina-hs-057905005
75,7283,18,236901002,New Waverly HS,New Waverly ISD,A,23,71,94,324,https://txschools.net/campus/new-waverly-hs-236901002
75,7283,18,101920005,Northbrook HS,Spring Branch ISD,C,23,56,79,2131,https://txschools.net/campus/northbrook-hs-101920005
75,7283,18,101912003,Northside HS,Houston ISD,A,23,69,92,918,https://txschools.net/campus/northside-hs-101912003
75,7283,18,165901125,Scharbauer Elem,Midland ISD,B,23,62,85,527,https://txschools.net/campus/scharbauer-elem-165901125
75,7283,18,057905069,Seagoville MS,Dallas ISD,B,23,66,89,1000,https://txschools.net/campus/seagoville-ms-057905069
75,7283,18,057910003,South Grand Prairie HS,Grand Prairie ISD,A,23,67,90,3150,https://txschools.net/campus/south-grand-prairie-hs-057910003
75,7283,18,226908001,Veribest HS,Veribest ISD,A,23,72,95,140,https://txschools.net/campus/veribest-hs-226908001
75,7283,18,057907104,William Lee Hastings Elem,Duncanville ISD,B,23,59,82,566,https://txschools.net/campus/william-lee-hastings-elem-057907104
94,7283,26,101919003,Andy Dekaney HS,Spring ISD,C,22,55,77,2344,https://txschools.net/campus/andy-dekaney-hs-101919003
94,7283,26,025904001,Blanket School,Blanket ISD,B,22,59,81,151,https://txschools.net/campus/blanket-school-025904001
94,7283,26,249903001,Bridgeport HS,Bridgeport ISD,B,22,62,84,633,https://txschools.net/campus/bridgeport-hs-249903001
94,7283,26,229901101,Colmesneil Elem,Colmesneil ISD,B,22,64,86,208,https://txschools.net/campus/colmesneil-elem-229901101
94,7283,26,057905383,Diane Ragsdale Citylab HS,Dallas ISD,A,22,69,91,138,https://txschools.net/campus/diane-ragsdale-citylab-hs-057905383
94,7283,26,019907006,Digital Academy of Texas,Texarkana ISD,B,22,59,81,859,https://txschools.net/campus/digital-academy-of-texas-019907006
94,7283,26,014906007,Harker Heights HS,Killeen ISD,A,22,70,92,2175,https://txschools.net/campus/harker-heights-hs-014906007
94,7283,26,127904001,Hawley HS,Hawley ISD,A,22,70,92,212,https://txschools.net/campus/hawley-hs-127904001
94,7283,26,091906037,Jefferson Learning Ctr,Sherman ISD,B,22,67,89,76,https://txschools.net/campus/jefferson-learning-ctr-091906037
94,7283,26,138902001,Knox City School,Knox City-O'Brien CISD,A,22,73,95,183,https://txschools.net/campus/knox-city-school-138902001
94,7283,26,100904105,Laura Reeves Pri,Silsbee ISD,B,22,58,80,266,https://txschools.net/campus/laura-reeves-pri-100904105
94,7283,26,241906041,Louise JH,Louise ISD,A,22,68,90,106,https://txschools.net/campus/louise-jh-241906041
94,7283,26,101924043,Michael R Null MS,Sheldon ISD,B,22,67,89,1031,https://txschools.net/campus/michael-r-null-ms-101924043
94,7283,26,101912484,MS College HS at HCC Gulfton,Houston ISD,B,22,66,88,59,https://txschools.net/campus/ms-college-hs-at-hcc-gulfton-101912484
94,7283,26,240904102,Oilton Elem,Webb CISD,D,22,46,68,99,https://txschools.net/campus/oilton-elem-240904102
94,7283,26,220905010,Paschal HS,Fort Worth ISD,B,22,65,87,2065,https://txschools.net/campus/paschal-hs-220905010
94,7283,26,203901102,San Augustine Elem,San Augustine ISD,B,22,59,81,312,https://txschools.net/campus/san-augustine-elem-203901102
94,7283,26,117903001,Sanford-Fritch HS,Sanford-Fritch ISD,B,22,67,89,222,https://txschools.net/campus/sanford-fritch-hs-117903001
94,7283,26,101912023,Sharpstown HS,Houston ISD,B,22,62,84,1310,https://txschools.net/campus/sharpstown-hs-101912023
94,7283,26,100904106,Silsbee Elem,Silsbee ISD,B,22,58,80,844,https://txschools.net/campus/silsbee-elem-100904106
94,7283,26,011904002,Smithville HS,Smithville ISD,B,22,67,89,527,https://txschools.net/campus/smithville-hs-011904002
94,7283,26,101912014,Sterling HS,Houston ISD,B,22,61,83,1037,https://txschools.net/campus/sterling-hs-101912014
94,7283,26,014909002,Temple HS,Temple ISD,A,22,68,90,2343,https://txschools.net/campus/temple-hs-014909002
94,7283,26,101912016,Washington B T HS,Houston ISD,A,22,69,91,704,https://txschools.net/campus/washington-b-t-hs-101912016
94,7283,26,201914001,West Rusk HS,West Rusk County Consolidated ISD,A,22,72,94,347,https://txschools.net/campus/west-rusk-hs-201914001
94,7283,26,116908001,WH Ford HS,Quinlan ISD,B,22,66,88,832,https://txschools.net/campus/wh-ford-hs-116908001
94,7283,26,101912019,Worthing HS,Houston ISD,B,22,61,83,642,https://txschools.net/campus/worthing-hs-101912019
121,7283,17,079901002,B F Terry HS,Lamar CISD,A,21,69,90,1685,https://txschools.net/campus/b-f-terry-hs-079901002
121,7283,17,220905163,Bruce Shulkey Elem,Fort Worth ISD,B,21,59,80,313,https://txschools.net/campus/bruce-shulkey-elem-220905163
121,7283,17,057910009,Crosswinds Accelerated HS,Grand Prairie ISD,A,21,71,92,318,https://txschools.net/campus/crosswinds-accelerated-hs-057910009
121,7283,17,235902129,Early Childhood Center at Fw Gross,Victoria ISD,A,21,69,90,157,https://txschools.net/campus/early-childhood-center-at-fw-gross-235902129
121,7283,17,015911001,East Central HS,East Central ISD,B,21,59,80,3299,https://txschools.net/campus/east-central-hs-015911001
121,7283,17,015905002,John F Kennedy HS,Edgewood ISD,C,21,51,72,944,https://txschools.net/campus/john-f-kennedy-hs-015905002
121,7283,17,219905001,Kress HS,Kress ISD,A,21,69,90,127,https://txschools.net/campus/kress-hs-219905001
121,7283,17,057905159,L L Hotchkiss Elem,Dallas ISD,B,21,67,88,511,https://txschools.net/campus/l-l-hotchkiss-elem-057905159
121,7283,17,057916002,Lake Highlands HS,Richardson ISD,B,21,67,88,2876,https://txschools.net/campus/lake-highlands-hs-057916002
121,7283,17,057912003,MacArthur HS,Irving ISD,B,21,66,87,2243,https://txschools.net/campus/macarthur-hs-057912003
121,7283,17,220905051,Meacham MS,Fort Worth ISD,B,21,59,80,638,https://txschools.net/campus/meacham-ms-220905051
121,7283,17,057914001,Mesquite HS,Mesquite ISD,B,21,65,86,2063,https://txschools.net/campus/mesquite-hs-057914001
121,7283,17,019907115,Paul Laurence Dunbar Early Education Center,Texarkana ISD,C,21,55,76,409,https://txschools.net/campus/paul-laurence-dunbar-early-education-center-019907115
121,7283,17,220905009,Polytechnic HS,Fort Worth ISD,C,21,53,74,1253,https://txschools.net/campus/polytechnic-hs-220905009
121,7283,17,084909001,Santa Fe HS,Santa Fe ISD,B,21,64,85,1310,https://txschools.net/campus/santa-fe-hs-084909001
121,7283,17,235902046,STEM MS,Victoria ISD,D,21,47,68,674,https://txschools.net/campus/stem-ms-235902046
121,7283,17,227904005,Weiss HS,Pflugerville ISD,A,21,69,90,2036,https://txschools.net/campus/weiss-hs-227904005
121,7283,17,101912036,Westside HS,Houston ISD,A,21,70,91,2477,https://txschools.net/campus/westside-hs-101912036
139,7283,37,126901001,Alvarado HS,Alvarado ISD,A,20,72,92,1122,https://txschools.net/campus/alvarado-hs-126901001
139,7283,37,114901001,Big Spring HS,Big Spring ISD,B,20,65,85,869,https://txschools.net/campus/big-spring-hs-114901001
139,7283,37,071902043,Canyon Hills MS,El Paso ISD,B,20,64,84,446,https://txschools.net/campus/canyon-hills-ms-071902043
139,7283,37,007901041,Charlotte MS,Charlotte ISD,C,20,50,70,99,https://txschools.net/campus/charlotte-ms-007901041
139,7283,37,206903001,Cherokee School,Cherokee ISD,B,20,69,89,127,https://txschools.net/campus/cherokee-school-206903001
139,7283,37,229906101,Chester Elem,Chester ISD,A,20,72,92,76,https://txschools.net/campus/chester-elem-229906101
139,7283,37,114902001,Coahoma HS,Coahoma ISD,B,20,64,84,305,https://txschools.net/campus/coahoma-hs-114902001
139,7283,37,232903003,Crossroads Academy,Uvalde CISD,B,20,60,80,57,https://txschools.net/campus/crossroads-academy-232903003
139,7283,37,126902003,Crossroads HS,Burleson ISD,B,20,68,88,56,https://txschools.net/campus/crossroads-hs-126902003
139,7283,37,254901101,Dr Tomas Rivera Elem,Crystal City ISD,A,20,70,90,141,https://txschools.net/campus/dr-tomas-rivera-elem-254901101
139,7283,37,171901001,Dumas HS,Dumas ISD,A,20,75,95,1122,https://txschools.net/campus/dumas-hs-171901001
139,7283,37,049901101,Edison Elem,Gainesville ISD,B,20,63,83,583,https://txschools.net/campus/edison-elem-049901101
139,7283,37,070903002,Ennis HS,Ennis ISD,B,20,68,88,1821,https://txschools.net/campus/ennis-hs-070903002
139,7283,37,057916143,Forest Lane Academy,Richardson ISD,B,20,65,85,643,https://txschools.net/campus/forest-lane-academy-057916143
139,7283,37,057907105,Grace R Brandenburg Elem,Duncanville ISD,C,20,58,78,314,https://txschools.net/campus/grace-r-brandenburg-elem-057907105
139,7283,37,225907001,Harts Bluff Early College HS,Harts Bluff ISD,A,20,71,91,212,https://txschools.net/campus/harts-bluff-early-college-hs-225907001
139,7283,37,140905102,HP Webb Elem,Olton ISD,B,20,66,86,285,https://txschools.net/campus/hp-webb-elem-140905102
139,7283,37,155901002,Jefferson HS,Jefferson ISD,B,20,64,84,360,https://txschools.net/campus/jefferson-hs-155901002
139,7283,37,057905008,Justin F Kimball HS,Dallas ISD,B,20,61,81,1152,https://txschools.net/campus/justin-f-kimball-hs-057905008
139,7283,37,084906002,La Marque HS,Texas City ISD,B,20,61,81,738,https://txschools.net/campus/la-marque-hs-084906002
139,7283,37,220908002,Mansfield Summit HS,Mansfield ISD,A,20,73,93,1872,https://txschools.net/campus/mansfield-summit-hs-220908002
139,7283,37,015905003,Memorial HS,Edgewood ISD,C,20,57,77,775,https://txschools.net/campus/memorial-hs-015905003
139,7283,37,101912458,Mickey Leland College Prep Acad for Young Men,Houston ISD,A,20,75,95,204,https://txschools.net/campus/mickey-leland-college-prep-acad-for-young-men-101912458
