# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/school-progress-highest
# rows: 7238 (excluding this header and the column row)
# ranking: Texas campuses with the highest School Progress in 2025-26
# population: 7,238 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 408 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
47,7238,58,178904014,Harold T Branch Academy for Career & Technical Ed,Corpus Christi ISD,A,97,274,https://txschools.net/campus/harold-t-branch-academy-for-career-technical-ed-178904014
47,7238,58,015915006,Health Careers HS,Northside ISD,A,97,869,https://txschools.net/campus/health-careers-hs-015915006
47,7238,58,046902008,Hill Country College Prep HS,Comal ISD,A,97,264,https://txschools.net/campus/hill-country-college-prep-hs-046902008
47,7238,58,101912348,Houston Academy for International Studies,Houston ISD,A,97,471,https://txschools.net/campus/houston-academy-for-international-studies-101912348
47,7238,58,092903117,Hudson Elem,Longview ISD,A,97,430,https://txschools.net/campus/hudson-elem-092903117
47,7238,58,101911016,Impact Early College HS,Goose Creek CISD,A,97,414,https://txschools.net/campus/impact-early-college-hs-101911016
47,7238,58,170908007,Infinity Early College HS,New Caney ISD,A,97,365,https://txschools.net/campus/infinity-early-college-hs-170908007
47,7238,58,061911010,James M Steele Early College HS,Northwest ISD,A,97,341,https://txschools.net/campus/james-m-steele-early-college-hs-061911010
47,7238,58,108912008,Jimmy Carter Early College HS,La Joya ISD,A,97,752,https://txschools.net/campus/jimmy-carter-early-college-hs-108912008
47,7238,58,015916009,Judson Early College Academy,Judson ISD,A,97,472,https://txschools.net/campus/judson-early-college-academy-015916009
47,7238,58,101903006,Kerr HS,Alief ISD,A,97,810,https://txschools.net/campus/kerr-hs-101903006
47,7238,58,014906013,Killeen ISD Early College HS,Killeen ISD,A,97,992,https://txschools.net/campus/killeen-isd-early-college-hs-014906013
47,7238,58,043905058,Lawler MS,Frisco ISD,A,97,927,https://txschools.net/campus/lawler-ms-043905058
47,7238,58,246911009,Legacy Early College HS,Taylor ISD,A,97,117,https://txschools.net/campus/legacy-early-college-hs-246911009
