# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/school-progress-lowest
# rows: 8061 (excluding this header and the column row)
# ranking: Texas campuses with the lowest School Progress in 2025-26
# population: 8,061 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# population: 414 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
79,8061,47,057906108,Frank D Moates Elem,Desoto ISD,F,56,459,https://txschools.net/campus/frank-d-moates-elem-057906108
79,8061,47,229904101,Fred Elem,Warren ISD,F,56,189,https://txschools.net/campus/fred-elem-229904101
79,8061,47,185903101,Friona Elem,Friona ISD,F,56,265,https://txschools.net/campus/friona-elem-185903101
79,8061,47,067904042,Gorman MS,Gorman ISD,F,56,42,https://txschools.net/campus/gorman-ms-067904042
79,8061,47,227901116,Govalle Elem,Austin ISD,F,56,372,https://txschools.net/campus/govalle-elem-227901116
79,8061,47,019913101,Hubbard ISD,Hubbard ISD,F,56,54,https://txschools.net/campus/hubbard-isd-019913101
79,8061,47,146905041,Hull-Daisetta JH,Hull-Daisetta ISD,F,56,69,https://txschools.net/campus/hull-daisetta-jh-146905041
79,8061,47,108807128,IDEA Brackenridge Academy,IDEA Public Schools,F,56,611,https://txschools.net/campus/idea-brackenridge-academy-108807128
79,8061,47,108807122,IDEA Monterrey Park Academy,IDEA Public Schools,F,56,554,https://txschools.net/campus/idea-monterrey-park-academy-108807122
79,8061,47,108807186,IDEA Rise Academy,IDEA Public Schools,F,56,641,https://txschools.net/campus/idea-rise-academy-108807186
79,8061,47,161914110,JH Hines Elem,Waco ISD,F,56,359,https://txschools.net/campus/jh-hines-elem-161914110
79,8061,47,227912101,Lago Vista Elem,Lago Vista ISD,C,56,531,https://txschools.net/campus/lago-vista-elem-227912101
79,8061,47,228903103,Lansberry Elem,Trinity ISD,F,56,553,https://txschools.net/campus/lansberry-elem-228903103
79,8061,47,019908103,Liberty-Eylau Elem,Liberty-Eylau ISD,F,56,471,https://txschools.net/campus/liberty-eylau-elem-019908103
79,8061,47,227901150,Norman-Sims Elem,Austin ISD,F,56,260,https://txschools.net/campus/norman-sims-elem-227901150
79,8061,47,015915118,Oak Hills Terrace Elem,Northside ISD,F,56,437,https://txschools.net/campus/oak-hills-terrace-elem-015915118
79,8061,47,227901125,Oak Springs Elem,Austin ISD,F,56,213,https://txschools.net/campus/oak-springs-elem-227901125
79,8061,47,015915122,Passmore Elem,Northside ISD,F,56,361,https://txschools.net/campus/passmore-elem-015915122
79,8061,47,227907108,Pioneer Crossing Elem,Manor ISD,F,56,523,https://txschools.net/campus/pioneer-crossing-elem-227907108
79,8061,47,057913101,Pleasant Run Elem,Lancaster ISD,F,56,541,https://txschools.net/campus/pleasant-run-elem-057913101
79,8061,47,102902116,Price T Young Elem,Marshall ISD,F,56,540,https://txschools.net/campus/price-t-young-elem-102902116
79,8061,47,146901042,Santa Fe MS,Cleveland ISD,F,56,1256,https://txschools.net/campus/santa-fe-ms-146901042
79,8061,47,015907066,Tafolla College Prep MS,San Antonio ISD,F,56,348,https://txschools.net/campus/tafolla-college-prep-ms-015907066
79,8061,47,071905032,Thrive Academy,Ysleta ISD,B,56,110,https://txschools.net/campus/thrive-academy-071905032
79,8061,47,227829003,Valor Kyle,Valor Education,D,56,963,https://txschools.net/campus/valor-kyle-227829003
79,8061,47,220905133,W M Green Elem,Fort Worth ISD,F,56,526,https://txschools.net/campus/w-m-green-elem-220905133
79,8061,47,161914129,West Avenue Elem,Waco ISD,F,56,268,https://txschools.net/campus/west-avenue-elem-161914129
79,8061,47,241904106,Wharton Elem,Wharton ISD,F,56,496,https://txschools.net/campus/wharton-elem-241904106
79,8061,47,057907042,William H Byrd MS,Duncanville ISD,F,56,563,https://txschools.net/campus/william-h-byrd-ms-057907042
79,8061,47,212910101,Winona Elem,Winona ISD,F,56,558,https://txschools.net/campus/winona-elem-212910101
79,8061,47,220905216,Woodway Elem,Fort Worth ISD,F,56,481,https://txschools.net/campus/woodway-elem-220905216
79,8061,47,243905131,Zundelowitz Elem,Wichita Falls ISD,F,56,507,https://txschools.net/campus/zundelowitz-elem-243905131
127,8061,60,101803041,Aristoi Classical Academy,Aristoi Classical Academy,C,57,446,https://txschools.net/campus/aristoi-classical-academy-101803041
127,8061,60,232903108,Batesville School,Uvalde CISD,F,57,106,https://txschools.net/campus/batesville-school-232903108
127,8061,60,115901101,Benito Martinez Elem,Ft Hancock ISD,F,57,227,https://txschools.net/campus/benito-martinez-elem-115901101
127,8061,60,123910127,Blanchette Elem,Beaumont ISD,F,57,426,https://txschools.net/campus/blanchette-elem-123910127
127,8061,60,227901046,Burnet MS,Austin ISD,F,57,688,https://txschools.net/campus/burnet-ms-227901046
127,8061,60,166901101,Cameron Elem,Cameron ISD,F,57,288,https://txschools.net/campus/cameron-elem-166901101
127,8061,60,152901198,Carmona-Harrison Elem,Lubbock ISD,F,57,606,https://txschools.net/campus/carmona-harrison-elem-152901198
127,8061,60,003907102,Central Elem,Central ISD,F,57,624,https://txschools.net/campus/central-elem-003907102
127,8061,60,161914043,Cesar Chavez MS,Waco ISD,F,57,836,https://txschools.net/campus/cesar-chavez-ms-161914043
127,8061,60,170907061,Coleman 6th Grade Campus,Splendora ISD,D,57,455,https://txschools.net/campus/coleman-6th-grade-campus-170907061
127,8061,60,116903043,Commerce MS,Commerce ISD,F,57,340,https://txschools.net/campus/commerce-ms-116903043
127,8061,60,170902220,Conroe Virtual School,Conroe ISD,D,57,245,https://txschools.net/campus/conroe-virtual-school-170902220
127,8061,60,227901161,Cook Elem,Austin ISD,F,57,384,https://txschools.net/campus/cook-elem-227901161
127,8061,60,161914106,Crestview Elem,Waco ISD,F,57,461,https://txschools.net/campus/crestview-elem-161914106
127,8061,60,015907065,Davis College Prep MS,San Antonio ISD,F,57,264,https://txschools.net/campus/davis-college-prep-ms-015907065
127,8061,60,082902101,Dilley Elem,Dilley ISD,F,57,422,https://txschools.net/campus/dilley-elem-082902101
127,8061,60,057910106,Florence Hill Elem,Grand Prairie ISD,F,57,525,https://txschools.net/campus/florence-hill-elem-057910106
127,8061,60,221801081,Founders Classical Academy - Fort Worth,Texas College Preparatory Academies,C,57,126,https://txschools.net/campus/founders-classical-academy-fort-worth-221801081
127,8061,60,188901170,George Washington Carver Elem Academy,Amarillo ISD,F,57,337,https://txschools.net/campus/george-washington-carver-elem-academy-188901170
127,8061,60,250902101,Hawkins Elem,Hawkins ISD,F,57,367,https://txschools.net/campus/hawkins-elem-250902101
127,8061,60,015916044,Henry Metzger MS,Judson ISD,F,57,815,https://txschools.net/campus/henry-metzger-ms-015916044
127,8061,60,057904105,Highlands Elem,Cedar Hill ISD,F,57,384,https://txschools.net/campus/highlands-elem-057904105
127,8061,60,220915110,Hilltop Elem,Azle ISD,D,57,542,https://txschools.net/campus/hilltop-elem-220915110
127,8061,60,014903122,Hubbard Branch Elem,Belton ISD,F,57,503,https://txschools.net/campus/hubbard-branch-elem-014903122
127,8061,60,108807123,IDEA Walzem Academy,IDEA Public Schools,F,57,604,https://txschools.net/campus/idea-walzem-academy-108807123
127,8061,60,015916045,Judson MS,Judson ISD,F,57,749,https://txschools.net/campus/judson-ms-015916045
127,8061,60,227820213,KIPP Peace Elem,KIPP Texas Public Schools,F,57,469,https://txschools.net/campus/kipp-peace-elem-227820213
127,8061,60,161906105,La Vega Elem,La Vega ISD,D,57,610,https://txschools.net/campus/la-vega-elem-161906105
127,8061,60,057904108,Lakeridge Elem,Cedar Hill ISD,F,57,418,https://txschools.net/campus/lakeridge-elem-057904108
127,8061,60,090904115,Lamar Elem,Pampa ISD,D,57,366,https://txschools.net/campus/lamar-elem-090904115
127,8061,60,071902128,Logan Elem,El Paso ISD,F,57,619,https://txschools.net/campus/logan-elem-071902128
127,8061,60,011901110,Lost Pines Elem,Bastrop ISD,F,57,741,https://txschools.net/campus/lost-pines-elem-011901110
127,8061,60,016901101,Lyndon B Johnson Elem,Johnson City ISD,D,57,319,https://txschools.net/campus/lyndon-b-johnson-elem-016901101
127,8061,60,220901135,Miller Elem,Arlington ISD,F,57,524,https://txschools.net/campus/miller-elem-220901135
127,8061,60,072910101,Morgan Mill School,Morgan Mill ISD,F,57,132,https://txschools.net/campus/morgan-mill-school-072910101
127,8061,60,011902103,Neidig Elem,Elgin ISD,F,57,693,https://txschools.net/campus/neidig-elem-011902103
127,8061,60,061802003,North Texas Collegiate Academy-South Campus,North Texas Collegiate Academy,F,57,252,https://txschools.net/campus/north-texas-collegiate-academy-south-campus-061802003
127,8061,60,059901104,Northwest Elem,Hereford ISD,F,57,470,https://txschools.net/campus/northwest-elem-059901104
127,8061,60,101902146,Ogden Elem,Aldine ISD,F,57,540,https://txschools.net/campus/ogden-elem-101902146
127,8061,60,129901107,Opal Smith Elem,Crandall ISD,F,57,605,https://txschools.net/campus/opal-smith-elem-129901107
127,8061,60,227901189,Overton Elem,Austin ISD,F,57,418,https://txschools.net/campus/overton-elem-227901189
127,8061,60,057802001,Pegasus Charter HS,Pegasus School of Liberal Arts and Sciences,D,57,277,https://txschools.net/campus/pegasus-charter-hs-057802001
127,8061,60,137901110,Perez Elem,Kingsville ISD,F,57,381,https://txschools.net/campus/perez-elem-137901110
127,8061,60,227901164,Pickle Elem,Austin ISD,F,57,349,https://txschools.net/campus/pickle-elem-227901164
127,8061,60,007906102,Poteet Int,Poteet ISD,F,57,450,https://txschools.net/campus/poteet-int-007906102
127,8061,60,072801160,Premier HS - Longview,Premier High Schools,B,57,31,https://txschools.net/campus/premier-hs-longview-072801160
127,8061,60,227907106,Presidential Meadows Elem,Manor ISD,F,57,593,https://txschools.net/campus/presidential-meadows-elem-227907106
127,8061,60,190903051,Rains Int,Rains ISD,F,57,357,https://txschools.net/campus/rains-int-190903051
127,8061,60,057916137,Risd Acad,Richardson ISD,F,57,770,https://txschools.net/campus/risd-acad-057916137
127,8061,60,031912109,Roberts Elem,San Benito CISD,F,57,224,https://txschools.net/campus/roberts-elem-031912109
127,8061,60,188902101,Rolling Hills Elem,River Road ISD,F,57,302,https://txschools.net/campus/rolling-hills-elem-188902101
127,8061,60,128903101,Runge Elem,Runge ISD,F,57,113,https://txschools.net/campus/runge-elem-128903101
127,8061,60,084908103,Stewart Elem,Hitchcock ISD,F,57,360,https://txschools.net/campus/stewart-elem-084908103
127,8061,60,091903114,Terrell Elem,Denison ISD,F,57,444,https://txschools.net/campus/terrell-elem-091903114
127,8061,60,101814103,The Varnett School - East,The Varnett Public School,F,57,291,https://txschools.net/campus/the-varnett-school-east-101814103
127,8061,60,123907108,Travis Elem,Port Arthur ISD,F,57,545,https://txschools.net/campus/travis-elem-123907108
127,8061,60,123910048,Vincent MS,Beaumont ISD,F,57,581,https://txschools.net/campus/vincent-ms-123910048
127,8061,60,129901101,W A Martin Elem,Crandall ISD,F,57,666,https://txschools.net/campus/w-a-martin-elem-129901101
127,8061,60,043907104,Webb Elem,McKinney ISD,F,57,522,https://txschools.net/campus/webb-elem-043907104
127,8061,60,227901053,Webb MS,Austin ISD,F,57,429,https://txschools.net/campus/webb-ms-227901053
127,8061,60,227901144,Wooten Elem,Austin ISD,F,57,236,https://txschools.net/campus/wooten-elem-227901144
188,8061,69,116903104,Albert C Williams Elem,Commerce ISD,F,58,344,https://txschools.net/campus/albert-c-williams-elem-116903104
188,8061,69,101911113,Ashbel Smith Elem,Goose Creek CISD,F,58,678,https://txschools.net/campus/ashbel-smith-elem-101911113
188,8061,69,246913109,Bagdad Elem,Leander ISD,F,58,688,https://txschools.net/campus/bagdad-elem-246913109
188,8061,69,227901149,Barrington Elem,Austin ISD,F,58,307,https://txschools.net/campus/barrington-elem-227901149
188,8061,69,057910056,Bill Arnold MS,Grand Prairie ISD,F,58,1188,https://txschools.net/campus/bill-arnold-ms-057910056
188,8061,69,101875001,Bloom Academy Charter School,Bloom Academy Charter School,F,58,364,https://txschools.net/campus/bloom-academy-charter-school-101875001
188,8061,69,015915227,Boldt Elem,Northside ISD,D,58,864,https://txschools.net/campus/boldt-elem-015915227
188,8061,69,185901101,Bovina Elem,Bovina ISD,F,58,175,https://txschools.net/campus/bovina-elem-185901101
188,8061,69,003903122,Brookhollow Elem STEM Academy,Lufkin ISD,F,58,262,https://txschools.net/campus/brookhollow-elem-stem-academy-003903122
188,8061,69,027903041,Burnet MS,Burnet CISD,F,58,747,https://txschools.net/campus/burnet-ms-027903041
188,8061,69,049905101,Callisburg Elem,Callisburg ISD,D,58,546,https://txschools.net/campus/callisburg-elem-049905101
188,8061,69,011901112,Camino Real Elem,Bastrop ISD,F,58,954,https://txschools.net/campus/camino-real-elem-011901112
188,8061,69,246913125,Christine Camacho Elem,Leander ISD,F,58,598,https://txschools.net/campus/christine-camacho-elem-246913125
188,8061,69,070912111,Clift Elem,Waxahachie ISD,F,58,457,https://txschools.net/campus/clift-elem-070912111
188,8061,69,161921101,Connally Pri,Connally ISD,F,58,442,https://txschools.net/campus/connally-pri-161921101
188,8061,69,227907104,Decker Elem,Manor ISD,F,58,328,https://txschools.net/campus/decker-elem-227907104
188,8061,69,061902050,Delay MS,Lewisville ISD,F,58,627,https://txschools.net/campus/delay-ms-061902050
188,8061,69,221801060,Denton Classical Academy,Texas College Preparatory Academies,C,58,211,https://txschools.net/campus/denton-classical-academy-221801060
188,8061,69,194905101,Detroit Elem,Detroit ISD,D,58,230,https://txschools.net/campus/detroit-elem-194905101
188,8061,69,163901102,Devine Intermediate School,Devine ISD,F,58,439,https://txschools.net/campus/devine-intermediate-school-163901102
188,8061,69,086024101,Doss Elem,Doss Consolidated CSD,B,58,18,https://txschools.net/campus/doss-elem-086024101
188,8061,69,015904116,E H Gilbert Elem,Harlandale ISD,F,58,577,https://txschools.net/campus/e-h-gilbert-elem-015904116
188,8061,69,220905209,Edward Briscoe Elem,Fort Worth ISD,F,58,311,https://txschools.net/campus/edward-briscoe-elem-220905209
188,8061,69,068901127,El Magnet at Blackshear,Ector County ISD,F,58,629,https://txschools.net/campus/el-magnet-at-blackshear-068901127
188,8061,69,015916113,Elolf STEAM Academy,Judson ISD,D,58,651,https://txschools.net/campus/elolf-steam-academy-015916113
