# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-declines
# rows: 1162 (excluding this header and the column row)
# ranking: Texas school districts with the largest per-student spending declines since 2018
# population: 1,162 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 22 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2018,2025,enrollment,url
56,1162,0,243901,Burkburnett ISD,Wichita,C,-2288,17652,15364,3142,https://txschools.net/district/burkburnett-isd-243901
57,1162,0,129901,Crandall ISD,Kaufman,C,-2281,16781,14500,7455,https://txschools.net/district/crandall-isd-129901
58,1162,0,104907,Paint Creek ISD,Haskell,A,-2224,48958,46734,116,https://txschools.net/district/paint-creek-isd-104907
59,1162,0,242906,Fort Elliott CISD,Wheeler,B,-1977,38727,36750,133,https://txschools.net/district/fort-elliott-cisd-242906
60,1162,0,057911,Highland Park ISD,Dallas,A,-1926,24340,22414,6215,https://txschools.net/district/highland-park-isd-057911
61,1162,0,254901,Crystal City ISD,Zavala,C,-1557,19143,17586,1480,https://txschools.net/district/crystal-city-isd-254901
62,1162,0,158901,Bay City ISD,Matagorda,C,-1542,17130,15588,3312,https://txschools.net/district/bay-city-isd-158901
63,1162,0,059902,Walcott ISD,Deaf Smith,B,-1506,21261,19755,138,https://txschools.net/district/walcott-isd-059902
64,1162,0,186902,Fort Stockton ISD,Pecos,C,-1472,17037,15565,11681,https://txschools.net/district/fort-stockton-isd-186902
65,1162,0,081906,Dew ISD,Freestone,C,-1377,15683,14306,170,https://txschools.net/district/dew-isd-081906
66,1162,0,018904,Valley Mills ISD,Bosque,C,-1373,16157,14784,664,https://txschools.net/district/valley-mills-isd-018904
67,1162,0,101925,Huffman ISD,Harris,C,-1318,18737,17419,3698,https://txschools.net/district/huffman-isd-101925
68,1162,0,129906,Terrell ISD,Kaufman,C,-1222,15991,14769,5178,https://txschools.net/district/terrell-isd-129906
69,1162,0,015917,Southside ISD,Bexar,B,-1189,17268,16079,6091,https://txschools.net/district/southside-isd-015917
70,1162,0,020901,Alvin ISD,Brazoria,B,-1069,16497,15428,29994,https://txschools.net/district/alvin-isd-020901
71,1162,0,125905,Premont ISD,Jim Wells,C,-992,21481,20489,761,https://txschools.net/district/premont-isd-125905
72,1162,0,017901,Borden County ISD,Borden,A,-623,32543,31920,238,https://txschools.net/district/borden-county-isd-017901
73,1162,0,126903,Cleburne ISD,Johnson,C,-556,18393,17837,6776,https://txschools.net/district/cleburne-isd-126903
74,1162,0,123907,Port Arthur ISD,Jefferson,C,-539,23011,22472,7664,https://txschools.net/district/port-arthur-isd-123907
75,1162,0,208902,Snyder ISD,Scurry,C,-436,15147,14711,2220,https://txschools.net/district/snyder-isd-208902
76,1162,0,230901,Big Sandy ISD,Upshur,C,-407,17073,16666,643,https://txschools.net/district/big-sandy-isd-230901
77,1162,0,043919,Lovejoy ISD,Collin,A,-404,16320,15916,3841,https://txschools.net/district/lovejoy-isd-043919
78,1162,0,146906,Liberty ISD,Liberty,C,-368,16553,16185,2406,https://txschools.net/district/liberty-isd-146906
79,1162,0,180904,Wildorado ISD,Oldham,A,-256,18826,18570,198,https://txschools.net/district/wildorado-isd-180904
80,1162,0,153905,New Home ISD,Lynn,A,-128,12784,12656,685,https://txschools.net/district/new-home-isd-153905
81,1162,0,193902,Leakey ISD,Real,C,-45,16674,16629,308,https://txschools.net/district/leakey-isd-193902
82,1162,0,146901,Cleveland ISD,Liberty,D,-14,14253,14239,12648,https://txschools.net/district/cleveland-isd-146901
83,1162,0,163904,Hondo ISD,Medina,C,28,15611,15639,1720,https://txschools.net/district/hondo-isd-163904
84,1162,0,101910,Galena Park ISD,Harris,B,70,16605,16675,20108,https://txschools.net/district/galena-park-isd-101910
85,1162,0,211902,Stratford ISD,Sherman,B,165,16510,16675,487,https://txschools.net/district/stratford-isd-211902
86,1162,0,036902,Barbers Hill ISD,Chambers,A,185,27600,27785,8069,https://txschools.net/district/barbers-hill-isd-036902
87,1162,0,073905,Rosebud-Lott ISD,Falls,B,219,27277,27496,763,https://txschools.net/district/rosebud-lott-isd-073905
88,1162,0,015836,Eleanor Kolitz Hebrew Language Academy,Bexar,B,230,10645,10875,464,https://txschools.net/district/eleanor-kolitz-hebrew-language-academy-015836
89,1162,0,226907,Grape Creek ISD,Tom Green,C,262,15520,15782,1192,https://txschools.net/district/grape-creek-isd-226907
90,1162,0,123803,Tekoa Academy of Accelerated Studies STEM School,Jefferson,A,337,12138,12475,395,https://txschools.net/district/tekoa-academy-of-accelerated-studies-stem-school-123803
91,1162,0,094902,Schertz-Cibolo-U City ISD,Guadalupe,B,362,14541,14903,14764,https://txschools.net/district/schertz-cibolo-u-city-isd-094902
92,1162,0,184908,Peaster ISD,Parker,B,436,15674,16110,1715,https://txschools.net/district/peaster-isd-184908
93,1162,0,101924,Sheldon ISD,Harris,C,519,23081,23600,10576,https://txschools.net/district/sheldon-isd-101924
94,1162,0,015814,Positive Solutions Charter School,Bexar,B,527,13199,13726,91,https://txschools.net/district/positive-solutions-charter-school-015814
95,1162,0,071905,Ysleta ISD,El Paso,B,580,15777,16357,32593,https://txschools.net/district/ysleta-isd-071905
96,1162,0,043901,Allen ISD,Collin,A,609,16598,17207,20092,https://txschools.net/district/allen-isd-043901
97,1162,0,101902,Aldine ISD,Harris,C,634,16847,17481,52115,https://txschools.net/district/aldine-isd-101902
98,1162,0,169906,Gold Burg ISD,Montague,C,670,17430,18100,149,https://txschools.net/district/gold-burg-isd-169906
99,1162,0,135001,Guthrie CSD,King,A,692,35417,36109,99,https://txschools.net/district/guthrie-csd-135001
100,1162,0,072902,Dublin ISD,Erath,A,720,14450,15170,1078,https://txschools.net/district/dublin-isd-072902
101,1162,0,019914,Leary ISD,Bowie,A,745,11141,11886,106,https://txschools.net/district/leary-isd-019914
102,1162,0,123914,Hamshire-Fannett ISD,Jefferson,B,783,13750,14533,1947,https://txschools.net/district/hamshire-fannett-isd-123914
103,1162,0,205903,Ingleside ISD,San Patricio,B,871,19843,20714,1983,https://txschools.net/district/ingleside-isd-205903
104,1162,0,105905,Wimberley ISD,Hays,B,897,13155,14052,2633,https://txschools.net/district/wimberley-isd-105905
105,1162,0,057919,Sunnyvale ISD,Dallas,A,899,18855,19754,2313,https://txschools.net/district/sunnyvale-isd-057919
106,1162,0,130901,Boerne ISD,Kendall,A,915,18241,19156,11132,https://txschools.net/district/boerne-isd-130901
107,1162,0,101864,The Lawson Academy,Harris,B,954,11266,12220,317,https://txschools.net/district/the-lawson-academy-101864
