# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-declines
# rows: 1162 (excluding this header and the column row)
# ranking: Texas school districts with the largest per-student spending declines since 2018
# population: 1,162 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 22 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2018,2025,enrollment,url
397,1162,0,190903,Rains ISD,Rains,C,4255,10722,14977,1664,https://txschools.net/district/rains-isd-190903
398,1162,0,044902,Wellington ISD,Collingsworth,B,4268,11205,15473,516,https://txschools.net/district/wellington-isd-044902
399,1162,0,212901,Arp ISD,Smith,C,4269,11956,16225,918,https://txschools.net/district/arp-isd-212901
400,1162,0,019901,DeKalb ISD,Bowie,B,4276,9919,14195,928,https://txschools.net/district/dekalb-isd-019901
401,1162,0,101859,Step Charter School,Harris,B,4281,10930,15211,723,https://txschools.net/district/step-charter-school-101859
402,1162,0,003801,Pineywoods Community Academy,Angelina,B,4282,9149,13431,1060,https://txschools.net/district/pineywoods-community-academy-003801
403,1162,0,171902,Sunray Collegiate ISD,Moore,B,4288,18792,23080,548,https://txschools.net/district/sunray-collegiate-isd-171902
404,1162,0,220910,Lake Worth ISD,Tarrant,D,4295,12440,16735,3165,https://txschools.net/district/lake-worth-isd-220910
405,1162,0,108903,Edcouch-Elsa ISD,Hidalgo,D,4296,13122,17418,4162,https://txschools.net/district/edcouch-elsa-isd-108903
406,1162,0,221904,Merkel ISD,Taylor,C,4301,10785,15086,1127,https://txschools.net/district/merkel-isd-221904
407,1162,0,108916,Valley View ISD,Hidalgo,A,4304,12727,17031,3304,https://txschools.net/district/valley-view-isd-108916
408,1162,0,074905,Ector ISD,Fannin,B,4308,13964,18272,234,https://txschools.net/district/ector-isd-074905
409,1162,0,015911,East Central ISD,Bexar,C,4322,16912,21234,11798,https://txschools.net/district/east-central-isd-015911
410,1162,0,003907,Central ISD,Angelina,C,4332,10473,14805,1491,https://txschools.net/district/central-isd-003907
411,1162,0,250906,Alba-Golden ISD,Wood,B,4351,10682,15033,772,https://txschools.net/district/alba-golden-isd-250906
412,1162,0,030901,Cross Plains ISD,Callahan,B,4356,13194,17550,357,https://txschools.net/district/cross-plains-isd-030901
413,1162,0,234907,Wills Point ISD,Van Zandt,C,4360,9710,14070,2882,https://txschools.net/district/wills-point-isd-234907
414,1162,0,037907,Rusk ISD,Cherokee,B,4361,10627,14988,1980,https://txschools.net/district/rusk-isd-037907
415,1162,0,110902,Levelland ISD,Hockley,B,4362,11906,16268,2398,https://txschools.net/district/levelland-isd-110902
416,1162,0,189902,Presidio ISD,Presidio,C,4366,13418,17784,1063,https://txschools.net/district/presidio-isd-189902
417,1162,1,014906,Killeen ISD,Bell,C,4367,9955,14322,41366,https://txschools.net/district/killeen-isd-014906
417,1162,1,007904,Lytle ISD,Atascosa,D,4367,10692,15059,1803,https://txschools.net/district/lytle-isd-007904
419,1162,0,101907,Cypress-Fairbanks ISD,Harris,B,4368,12265,16633,114430,https://txschools.net/district/cypress-fairbanks-isd-101907
420,1162,0,163901,Devine ISD,Medina,C,4378,10879,15257,1975,https://txschools.net/district/devine-isd-163901
421,1162,0,241906,Louise ISD,Wharton,B,4380,12252,16632,510,https://txschools.net/district/louise-isd-241906
422,1162,0,003905,Diboll ISD,Angelina,B,4385,11390,15775,1513,https://txschools.net/district/diboll-isd-003905
423,1162,0,029901,Calhoun County ISD,Calhoun,B,4410,14866,19276,3381,https://txschools.net/district/calhoun-county-isd-029901
424,1162,0,003904,Huntington ISD,Angelina,B,4417,10516,14933,1496,https://txschools.net/district/huntington-isd-003904
425,1162,0,090904,Pampa ISD,Gray,C,4421,9965,14386,3036,https://txschools.net/district/pampa-isd-090904
426,1162,0,198903,Franklin ISD,Robertson,A,4431,17737,22168,1438,https://txschools.net/district/franklin-isd-198903
427,1162,0,005904,Windthorst ISD,Archer,A,4440,11203,15643,491,https://txschools.net/district/windthorst-isd-005904
428,1162,0,067902,Cisco ISD,Eastland,B,4447,10983,15430,861,https://txschools.net/district/cisco-isd-067902
429,1162,0,227803,Wayside Schools,Travis,C,4462,9517,13979,1923,https://txschools.net/district/wayside-schools-227803
430,1162,0,097902,Hamilton ISD,Hamilton,C,4463,11509,15972,794,https://txschools.net/district/hamilton-isd-097902
431,1162,0,038901,Childress ISD,Childress,B,4468,10651,15119,901,https://txschools.net/district/childress-isd-038901
432,1162,0,178808,Seashore Charter Schools,Nueces,B,4473,7646,12119,422,https://txschools.net/district/seashore-charter-schools-178808
433,1162,0,057839,La Academia De Estrellas,Dallas,C,4479,9140,13619,1021,https://txschools.net/district/la-academia-de-estrellas-057839
434,1162,0,097903,Hico ISD,Hamilton,B,4483,11507,15990,614,https://txschools.net/district/hico-isd-097903
435,1162,0,049901,Gainesville ISD,Cooke,D,4520,10559,15079,3054,https://txschools.net/district/gainesville-isd-049901
436,1162,0,108906,McAllen ISD,Hidalgo,B,4540,10890,15430,19405,https://txschools.net/district/mcallen-isd-108906
437,1162,1,249901,Alvord ISD,Wise,B,4543,12305,16848,875,https://txschools.net/district/alvord-isd-249901
437,1162,1,227805,Texas Empowerment Academy,Travis,F,4543,11783,16326,760,https://txschools.net/district/texas-empowerment-academy-227805
439,1162,0,227826,Montessori for All,Travis,D,4565,10522,15087,556,https://txschools.net/district/montessori-for-all-227826
440,1162,0,050902,Gatesville ISD,Coryell,C,4571,9664,14235,2547,https://txschools.net/district/gatesville-isd-050902
441,1162,0,015815,Heritage Academy,Bexar,A,4572,9579,14151,574,https://txschools.net/district/heritage-academy-015815
442,1162,0,126904,Grandview ISD,Johnson,B,4589,9992,14581,1417,https://txschools.net/district/grandview-isd-126904
443,1162,0,187907,Livingston ISD,Polk,C,4599,11489,16088,3988,https://txschools.net/district/livingston-isd-187907
444,1162,0,098904,Spearman ISD,Hansford,B,4616,11995,16611,652,https://txschools.net/district/spearman-isd-098904
445,1162,0,137901,Kingsville ISD,Kleberg,D,4626,12467,17093,2341,https://txschools.net/district/kingsville-isd-137901
446,1162,0,212904,Troup ISD,Smith,C,4627,10471,15098,1067,https://txschools.net/district/troup-isd-212904
447,1162,0,212801,Cumberland Academy,Smith,C,4648,7814,12462,1519,https://txschools.net/district/cumberland-academy-212801
448,1162,0,057909,Garland ISD,Dallas,B,4650,13522,18172,49060,https://txschools.net/district/garland-isd-057909
449,1162,0,240901,Laredo ISD,Webb,A,4654,12618,17272,19461,https://txschools.net/district/laredo-isd-240901
450,1162,0,109907,Itasca ISD,Hill,C,4663,13739,18402,652,https://txschools.net/district/itasca-isd-109907
451,1162,0,015807,Southwest Preparatory School,Bexar,C,4665,13492,18157,849,https://txschools.net/district/southwest-preparatory-school-015807
452,1162,0,019910,Malta ISD,Bowie,B,4673,7442,12115,208,https://txschools.net/district/malta-isd-019910
453,1162,0,108804,Triumph Public High Schools-Rio Grande Valley,Hidalgo,B,4683,10576,15259,477,https://txschools.net/district/triumph-public-high-schools-rio-grande-valley-108804
454,1162,0,020905,Brazosport ISD,Brazoria,B,4689,15191,19880,10843,https://txschools.net/district/brazosport-isd-020905
455,1162,0,057916,Richardson ISD,Dallas,B,4696,13362,18058,36142,https://txschools.net/district/richardson-isd-057916
456,1162,0,230908,Union Grove ISD,Upshur,B,4703,13318,18021,710,https://txschools.net/district/union-grove-isd-230908
457,1162,0,091918,Tom Bean ISD,Grayson,B,4705,10483,15188,763,https://txschools.net/district/tom-bean-isd-091918
458,1162,0,221912,Wylie ISD,Taylor,B,4728,13646,18374,5617,https://txschools.net/district/wylie-isd-221912
459,1162,0,075908,Round Top-Carmine ISD,Fayette,B,4738,18509,23247,237,https://txschools.net/district/round-top-carmine-isd-075908
460,1162,0,021902,Bryan ISD,Brazos,C,4739,12875,17614,15653,https://txschools.net/district/bryan-isd-021902
461,1162,0,220801,Treetops School International,Tarrant,C,4750,7856,12606,186,https://txschools.net/district/treetops-school-international-220801
462,1162,0,174906,Woden ISD,Nacogdoches,B,4752,10626,15378,824,https://txschools.net/district/woden-isd-174906
463,1162,1,146903,Devers ISD,Liberty,A,4763,12099,16862,198,https://txschools.net/district/devers-isd-146903
463,1162,1,019911,Red Lick ISD,Bowie,A,4763,10093,14856,515,https://txschools.net/district/red-lick-isd-019911
465,1162,0,169901,Bowie ISD,Montague,B,4767,10901,15668,1457,https://txschools.net/district/bowie-isd-169901
466,1162,0,107907,Trinidad ISD,Henderson,B,4770,14468,19238,175,https://txschools.net/district/trinidad-isd-107907
467,1162,0,220908,Mansfield ISD,Tarrant,B,4782,11552,16334,34654,https://txschools.net/district/mansfield-isd-220908
468,1162,0,037904,Jacksonville ISD,Cherokee,D,4785,12470,17255,4572,https://txschools.net/district/jacksonville-isd-037904
469,1162,0,071807,La Fe Preparatory School,El Paso,B,4814,10994,15808,185,https://txschools.net/district/la-fe-preparatory-school-071807
470,1162,0,123905,Nederland ISD,Jefferson,A,4817,9892,14709,5359,https://txschools.net/district/nederland-isd-123905
471,1162,0,063906,Patton Springs ISD,Dickens,A,4824,20268,25092,22,https://txschools.net/district/patton-springs-isd-063906
472,1162,0,184907,Aledo ISD,Parker,A,4852,11518,16370,8590,https://txschools.net/district/aledo-isd-184907
473,1162,0,185902,Farwell ISD,Parmer,B,4857,12168,17025,570,https://txschools.net/district/farwell-isd-185902
474,1162,0,001906,Neches ISD,Anderson,B,4866,12543,17409,338,https://txschools.net/district/neches-isd-001906
475,1162,0,001907,Palestine ISD,Anderson,C,4871,11760,16631,3144,https://txschools.net/district/palestine-isd-001907
476,1162,0,220817,Newman International Academy of Arlington,Tarrant,C,4892,8333,13225,2697,https://txschools.net/district/newman-international-academy-of-arlington-220817
477,1162,0,241903,El Campo ISD,Wharton,B,4897,10673,15570,3206,https://txschools.net/district/el-campo-isd-241903
478,1162,0,060902,Cooper ISD,Delta,C,4903,11685,16588,879,https://txschools.net/district/cooper-isd-060902
479,1162,0,057841,Cityscape Schools,Dallas,C,4904,9920,14824,1218,https://txschools.net/district/cityscape-schools-057841
480,1162,0,110905,Ropes ISD,Hockley,A,4920,11868,16788,670,https://txschools.net/district/ropes-isd-110905
481,1162,0,108909,Pharr-San Juan-Alamo ISD,Hidalgo,A,4927,12616,17543,29043,https://txschools.net/district/pharr-san-juan-alamo-isd-108909
482,1162,0,108908,Mission CISD,Hidalgo,B,4937,12769,17706,13186,https://txschools.net/district/mission-cisd-108908
483,1162,0,015906,Randolph Field ISD,Bexar,A,4943,13235,18178,1402,https://txschools.net/district/randolph-field-isd-015906
484,1162,0,161925,Gholson ISD,McLennan,B,4964,10742,15706,227,https://txschools.net/district/gholson-isd-161925
485,1162,0,019906,Redwater ISD,Bowie,B,4975,10162,15137,1092,https://txschools.net/district/redwater-isd-019906
486,1162,0,101802,Ser-Ninos Charter School,Harris,C,4986,9805,14791,1206,https://txschools.net/district/ser-ninos-charter-school-101802
487,1162,0,070801,Faith Family Academy,Ellis,C,4987,9877,14864,2883,https://txschools.net/district/faith-family-academy-070801
488,1162,0,202903,Hemphill ISD,Sabine,A,4994,12010,17004,728,https://txschools.net/district/hemphill-isd-202903
489,1162,1,183902,Carthage ISD,Panola,B,4997,12602,17599,2602,https://txschools.net/district/carthage-isd-183902
489,1162,1,102905,Harleton ISD,Harrison,B,4997,10967,15964,702,https://txschools.net/district/harleton-isd-102905
491,1162,0,201914,West Rusk County Consolidated ISD,Rusk,C,5017,11624,16641,1006,https://txschools.net/district/west-rusk-county-consolidated-isd-201914
492,1162,0,178807,Corpus Christi Montessori School,Nueces,F,5018,7953,12971,132,https://txschools.net/district/corpus-christi-montessori-school-178807
493,1162,0,084802,Odyssey Academy Inc,Galveston,C,5032,10177,15209,1778,https://txschools.net/district/odyssey-academy-inc-084802
494,1162,0,187906,Leggett ISD,Polk,C,5037,12009,17046,204,https://txschools.net/district/leggett-isd-187906
495,1162,0,109904,Hillsboro ISD,Hill,B,5038,11433,16471,1913,https://txschools.net/district/hillsboro-isd-109904
496,1162,0,091905,Howe ISD,Grayson,C,5040,10486,15526,1191,https://txschools.net/district/howe-isd-091905
497,1162,0,201913,Carlisle ISD,Rusk,B,5045,12379,17424,656,https://txschools.net/district/carlisle-isd-201913
498,1162,0,166903,Milano ISD,Milam,B,5046,13104,18150,394,https://txschools.net/district/milano-isd-166903
499,1162,0,171901,Dumas ISD,Moore,B,5061,10091,15152,4232,https://txschools.net/district/dumas-isd-171901
500,1162,0,253901,Zapata County ISD,Zapata,B,5072,10878,15950,3199,https://txschools.net/district/zapata-county-isd-253901
501,1162,0,015915,Northside ISD,Bexar,C,5080,12117,17197,98031,https://txschools.net/district/northside-isd-015915
502,1162,0,178904,Corpus Christi ISD,Nueces,B,5081,12440,17521,31976,https://txschools.net/district/corpus-christi-isd-178904
503,1162,0,068901,Ector County ISD,Ector,C,5085,8820,13905,31866,https://txschools.net/district/ector-county-isd-068901
504,1162,0,178801,Dr M L Garza-Gonzalez Charter School,Nueces,B,5088,10807,15895,154,https://txschools.net/district/dr-m-l-garza-gonzalez-charter-school-178801
505,1162,0,058902,Dawson ISD,Dawson,B,5094,17674,22768,145,https://txschools.net/district/dawson-isd-058902
506,1162,0,234905,Martins Mill ISD,Van Zandt,B,5106,10617,15723,447,https://txschools.net/district/martins-mill-isd-234905
507,1162,0,116915,Bland ISD,Hunt,B,5126,11670,16796,777,https://txschools.net/district/bland-isd-116915
508,1162,0,101917,Pasadena ISD,Harris,B,5128,12956,18084,44046,https://txschools.net/district/pasadena-isd-101917
509,1162,0,042903,Santa Anna ISD,Coleman,C,5155,13397,18552,245,https://txschools.net/district/santa-anna-isd-042903
510,1162,0,185903,Friona ISD,Parmer,C,5159,13267,18426,979,https://txschools.net/district/friona-isd-185903
511,1162,0,108914,La Villa ISD,Hidalgo,B,5166,19779,24945,459,https://txschools.net/district/la-villa-isd-108914
512,1162,1,043902,Anna ISD,Collin,C,5167,15678,20845,6686,https://txschools.net/district/anna-isd-043902
512,1162,1,174901,Chireno ISD,Nacogdoches,B,5167,10414,15581,343,https://txschools.net/district/chireno-isd-174901
514,1162,0,201910,Tatum ISD,Rusk,B,5172,11085,16257,1327,https://txschools.net/district/tatum-isd-201910
515,1162,0,095901,Abernathy ISD,Hale,B,5176,13939,19115,775,https://txschools.net/district/abernathy-isd-095901
516,1162,0,079910,Stafford MSD,Fort Bend,B,5179,10864,16043,3529,https://txschools.net/district/stafford-msd-079910
517,1162,0,161802,Rapoport Academy Public School,McLennan,C,5180,10216,15396,914,https://txschools.net/district/rapoport-academy-public-school-161802
518,1162,0,091910,Whitewright ISD,Grayson,B,5181,10587,15768,791,https://txschools.net/district/whitewright-isd-091910
519,1162,0,123807,Bob Hope School,Jefferson,A,5182,10542,15724,2587,https://txschools.net/district/bob-hope-school-123807
520,1162,0,081902,Fairfield ISD,Freestone,C,5188,13064,18252,1526,https://txschools.net/district/fairfield-isd-081902
521,1162,0,046902,Comal ISD,Comal,B,5203,14916,20119,30341,https://txschools.net/district/comal-isd-046902
522,1162,0,170903,Montgomery ISD,Montgomery,B,5250,18791,24041,9699,https://txschools.net/district/montgomery-isd-170903
523,1162,0,057836,St Anthony School,Dallas,B,5256,10079,15335,321,https://txschools.net/district/st-anthony-school-057836
524,1162,0,161918,Axtell ISD,McLennan,B,5259,13552,18811,842,https://txschools.net/district/axtell-isd-161918
525,1162,1,182906,Palo Pinto ISD,Palo Pinto,A,5273,16369,21642,92,https://txschools.net/district/palo-pinto-isd-182906
525,1162,1,045905,Weimar ISD,Colorado,A,5273,12279,17552,735,https://txschools.net/district/weimar-isd-045905
527,1162,0,025901,Bangs ISD,Brown,B,5275,10474,15749,768,https://txschools.net/district/bangs-isd-025901
528,1162,0,220915,Azle ISD,Tarrant,C,5279,16650,21929,7166,https://txschools.net/district/azle-isd-220915
529,1162,0,116902,Celeste ISD,Hunt,B,5287,12861,18148,471,https://txschools.net/district/celeste-isd-116902
530,1162,0,201908,Overton ISD,Rusk,C,5290,12152,17442,534,https://txschools.net/district/overton-isd-201908
531,1162,0,210901,Center ISD,Shelby,C,5294,11156,16450,2258,https://txschools.net/district/center-isd-210901
532,1162,0,070907,Italy ISD,Ellis,B,5306,17637,22943,599,https://txschools.net/district/italy-isd-070907
533,1162,0,019909,Simms ISD,Bowie,B,5308,10268,15576,462,https://txschools.net/district/simms-isd-019909
534,1162,0,243902,Electra ISD,Wichita,C,5325,14615,19940,418,https://txschools.net/district/electra-isd-243902
535,1162,0,145911,Leon ISD,Leon,B,5332,13679,19011,790,https://txschools.net/district/leon-isd-145911
536,1162,0,015908,South San Antonio ISD,Bexar,C,5334,11317,16651,7083,https://txschools.net/district/south-san-antonio-isd-015908
537,1162,0,157901,Mason ISD,Mason,A,5337,12039,17376,675,https://txschools.net/district/mason-isd-157901
538,1162,0,108802,Horizon Montessori Public Schools,Hidalgo,B,5342,9078,14420,1034,https://txschools.net/district/horizon-montessori-public-schools-108802
539,1162,0,178912,Tuloso-Midway ISD,Nueces,B,5344,12578,17922,3659,https://txschools.net/district/tuloso-midway-isd-178912
540,1162,0,095905,Plainview ISD,Hale,C,5346,10387,15733,3811,https://txschools.net/district/plainview-isd-095905
541,1162,0,093901,Anderson-Shiro CISD,Grimes,A,5352,12987,18339,944,https://txschools.net/district/anderson-shiro-cisd-093901
542,1162,0,230902,Gilmer ISD,Upshur,B,5367,10149,15516,2923,https://txschools.net/district/gilmer-isd-230902
543,1162,0,252901,Graham ISD,Young,C,5374,10210,15584,2139,https://txschools.net/district/graham-isd-252901
544,1162,0,062904,Yorktown ISD,Dewitt,B,5375,13358,18733,552,https://txschools.net/district/yorktown-isd-062904
545,1162,0,209901,Albany ISD,Shackelford,B,5377,11984,17361,449,https://txschools.net/district/albany-isd-209901
546,1162,0,101838,Southwest Public Schools,Harris,B,5378,10100,15478,1727,https://txschools.net/district/southwest-public-schools-101838
547,1162,0,066902,San Diego ISD,Duval,B,5395,13374,18769,1416,https://txschools.net/district/san-diego-isd-066902
548,1162,0,031901,Brownsville ISD,Cameron,B,5400,11135,16535,34296,https://txschools.net/district/brownsville-isd-031901
549,1162,0,010901,Medina ISD,Bandera,B,5416,17714,23130,239,https://txschools.net/district/medina-isd-010901
550,1162,0,083901,Seagraves ISD,Gaines,B,5434,16881,22315,523,https://txschools.net/district/seagraves-isd-083901
551,1162,0,161921,Connally ISD,McLennan,D,5444,10777,16221,2031,https://txschools.net/district/connally-isd-161921
552,1162,0,057806,Advantage Academy,Dallas,C,5446,9324,14770,909,https://txschools.net/district/advantage-academy-057806
553,1162,0,126905,Joshua ISD,Johnson,B,5449,11760,17209,5998,https://txschools.net/district/joshua-isd-126905
554,1162,0,136901,Brackett ISD,Kinney,C,5452,14749,20201,490,https://txschools.net/district/brackett-isd-136901
555,1162,0,101905,Channelview ISD,Harris,B,5471,10537,16008,9086,https://txschools.net/district/channelview-isd-101905
556,1162,0,057904,Cedar Hill ISD,Dallas,C,5472,11101,16573,5876,https://txschools.net/district/cedar-hill-isd-057904
557,1162,0,227904,Pflugerville ISD,Travis,B,5486,12556,18042,25028,https://txschools.net/district/pflugerville-isd-227904
558,1162,0,121906,Evadale ISD,Jasper,A,5513,13579,19092,450,https://txschools.net/district/evadale-isd-121906
559,1162,0,210903,Shelbyville ISD,Shelby,B,5520,10647,16167,862,https://txschools.net/district/shelbyville-isd-210903
560,1162,0,015825,Lighthouse Public Schools,Bexar,C,5530,8949,14479,481,https://txschools.net/district/lighthouse-public-schools-015825
561,1162,0,126907,Rio Vista ISD,Johnson,C,5551,11838,17389,1031,https://txschools.net/district/rio-vista-isd-126907
562,1162,0,105906,Hays CISD,Hays,B,5574,17264,22838,24938,https://txschools.net/district/hays-cisd-105906
563,1162,0,062906,Meyersville ISD,Dewitt,B,5577,10708,16285,167,https://txschools.net/district/meyersville-isd-062906
564,1162,0,232904,Utopia ISD,Uvalde,A,5581,11006,16587,190,https://txschools.net/district/utopia-isd-232904
565,1162,0,184911,Garner ISD,Parker,B,5582,12007,17589,352,https://txschools.net/district/garner-isd-184911
566,1162,0,170904,Willis ISD,Montgomery,C,5587,15661,21248,9579,https://txschools.net/district/willis-isd-170904
567,1162,0,014803,Priority Charter Schools,Bell,B,5602,9607,15209,529,https://txschools.net/district/priority-charter-schools-014803
568,1162,0,108809,Excellence In Leadership Academy,Hidalgo,D,5621,10452,16073,168,https://txschools.net/district/excellence-in-leadership-academy-108809
569,1162,0,119903,Perrin-Whitt CISD,Jack,A,5641,12859,18500,306,https://txschools.net/district/perrin-whitt-cisd-119903
570,1162,0,101814,The Varnett Public School,Harris,D,5651,11474,17125,1084,https://txschools.net/district/the-varnett-public-school-101814
571,1162,0,250904,Quitman ISD,Wood,B,5656,11367,17023,1216,https://txschools.net/district/quitman-isd-250904
572,1162,0,110901,Anton ISD,Hockley,C,5668,15192,20860,171,https://txschools.net/district/anton-isd-110901
573,1162,0,228901,Groveton ISD,Trinity,C,5682,14881,20563,740,https://txschools.net/district/groveton-isd-228901
574,1162,0,070905,Ferris ISD,Ellis,B,5708,11206,16914,3031,https://txschools.net/district/ferris-isd-070905
575,1162,0,001909,Slocum ISD,Anderson,B,5711,12320,18031,330,https://txschools.net/district/slocum-isd-001909
576,1162,0,096905,Turkey-Quitaque ISD,Hall,A,5714,12791,18505,175,https://txschools.net/district/turkey-quitaque-isd-096905
577,1162,0,228904,Centerville ISD,Trinity,D,5722,14678,20400,143,https://txschools.net/district/centerville-isd-228904
578,1162,0,113903,Lovelady ISD,Houston,B,5737,11684,17421,526,https://txschools.net/district/lovelady-isd-113903
579,1162,0,183904,Gary ISD,Panola,D,5739,11698,17437,478,https://txschools.net/district/gary-isd-183904
580,1162,0,057833,Education Center International Academy,Dallas,D,5745,9016,14761,144,https://txschools.net/district/education-center-international-academy-057833
581,1162,0,227806,University of Texas University Charter School,Travis,B,5768,15351,21119,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
582,1162,0,229904,Warren ISD,Tyler,C,5780,10939,16719,1178,https://txschools.net/district/warren-isd-229904
583,1162,0,067908,Rising Star ISD,Eastland,B,5788,13877,19665,160,https://txschools.net/district/rising-star-isd-067908
584,1162,0,057835,Golden Rule Charter School,Dallas,D,5796,10324,16120,1285,https://txschools.net/district/golden-rule-charter-school-057835
585,1162,0,065901,Clarendon ISD,Donley,C,5798,11754,17552,403,https://txschools.net/district/clarendon-isd-065901
586,1162,0,050904,Oglesby ISD,Coryell,B,5799,12080,17879,257,https://txschools.net/district/oglesby-isd-050904
587,1162,0,230906,New Diana ISD,Upshur,B,5806,9973,15779,1150,https://txschools.net/district/new-diana-isd-230906
588,1162,0,010902,Bandera ISD,Bandera,C,5813,10003,15816,2159,https://txschools.net/district/bandera-isd-010902
589,1162,0,121903,Buna ISD,Jasper,C,5818,12441,18259,1412,https://txschools.net/district/buna-isd-121903
590,1162,0,139911,North Lamar ISD,Lamar,C,5819,11131,16950,2362,https://txschools.net/district/north-lamar-isd-139911
591,1162,0,153903,O'Donnell ISD,Lynn,B,5821,19942,25763,235,https://txschools.net/district/o-donnell-isd-153903
592,1162,0,220901,Arlington ISD,Tarrant,C,5822,13175,18997,51102,https://txschools.net/district/arlington-isd-220901
593,1162,0,031906,Los Fresnos CISD,Cameron,A,5827,10799,16626,10284,https://txschools.net/district/los-fresnos-cisd-031906
594,1162,0,101919,Spring ISD,Harris,C,5828,12612,18440,32328,https://txschools.net/district/spring-isd-101919
595,1162,0,058906,Lamesa ISD,Dawson,C,5840,11270,17110,1373,https://txschools.net/district/lamesa-isd-058906
596,1162,0,057827,Nova Academy Southeast,Dallas,B,5862,11134,16996,181,https://txschools.net/district/nova-academy-southeast-057827
597,1162,0,039904,Bellevue ISD,Clay,A,5864,13836,19700,242,https://txschools.net/district/bellevue-isd-039904
598,1162,0,220904,Everman ISD,Tarrant,C,5889,11933,17822,4704,https://txschools.net/district/everman-isd-220904
599,1162,0,005901,Archer City ISD,Archer,A,5915,15322,21237,486,https://txschools.net/district/archer-city-isd-005901
600,1162,0,006902,Claude ISD,Armstrong,A,5922,11675,17597,311,https://txschools.net/district/claude-isd-006902
601,1162,0,201907,Mount Enterprise ISD,Rusk,B,5923,11163,17086,482,https://txschools.net/district/mount-enterprise-isd-201907
602,1162,0,034905,Linden-Kildare CISD,Cass,B,5936,11567,17503,585,https://txschools.net/district/linden-kildare-cisd-034905
603,1162,0,129905,Mabank ISD,Kaufman,B,5952,11294,17246,4098,https://txschools.net/district/mabank-isd-129905
604,1162,0,070910,Palmer ISD,Ellis,B,5960,11353,17313,1382,https://txschools.net/district/palmer-isd-070910
605,1162,0,043917,Blue Ridge ISD,Collin,C,5973,11235,17208,1056,https://txschools.net/district/blue-ridge-isd-043917
606,1162,0,062901,Cuero ISD,Dewitt,C,5982,13293,19275,1802,https://txschools.net/district/cuero-isd-062901
607,1162,0,175910,Mildred ISD,Navarro,B,5983,10919,16902,801,https://txschools.net/district/mildred-isd-175910
608,1162,0,130902,Comfort ISD,Kendall,C,5986,12416,18402,1012,https://txschools.net/district/comfort-isd-130902
609,1162,0,003906,Zavalla ISD,Angelina,B,5997,12663,18660,308,https://txschools.net/district/zavalla-isd-003906
610,1162,0,155901,Jefferson ISD,Marion,C,5998,11045,17043,1105,https://txschools.net/district/jefferson-isd-155901
611,1162,0,174903,Garrison ISD,Nacogdoches,A,6000,12181,18181,739,https://txschools.net/district/garrison-isd-174903
612,1162,0,243905,Wichita Falls ISD,Wichita,C,6016,10240,16256,12435,https://txschools.net/district/wichita-falls-isd-243905
613,1162,0,101855,Meyerpark Charter,Harris,C,6018,8617,14635,259,https://txschools.net/district/meyerpark-charter-101855
614,1162,0,015916,Judson ISD,Bexar,C,6039,14148,20187,22556,https://txschools.net/district/judson-isd-015916
615,1162,0,219901,Happy ISD,Swisher,A,6049,11660,17709,238,https://txschools.net/district/happy-isd-219901
616,1162,0,071903,Fabens ISD,El Paso,B,6051,12256,18307,1812,https://txschools.net/district/fabens-isd-071903
617,1162,0,220905,Fort Worth ISD,Tarrant,C,6082,12883,18965,67315,https://txschools.net/district/fort-worth-isd-220905
618,1162,1,057907,Duncanville ISD,Dallas,C,6117,11366,17483,10988,https://txschools.net/district/duncanville-isd-057907
618,1162,1,227913,Lake Travis ISD,Travis,A,6117,16993,23110,10748,https://txschools.net/district/lake-travis-isd-227913
620,1162,0,245903,Raymondville ISD,Willacy,A,6146,13265,19411,1901,https://txschools.net/district/raymondville-isd-245903
621,1162,0,172902,Daingerfield-Lone Star ISD,Morris,C,6154,11777,17931,988,https://txschools.net/district/daingerfield-lone-star-isd-172902
622,1162,0,170908,New Caney ISD,Montgomery,C,6162,16038,22200,19642,https://txschools.net/district/new-caney-isd-170908
623,1162,0,241901,Boling ISD,Wharton,C,6166,10603,16769,1143,https://txschools.net/district/boling-isd-241901
624,1162,0,014909,Temple ISD,Bell,B,6169,16242,22411,8704,https://txschools.net/district/temple-isd-014909
625,1162,0,133905,Divide ISD,Kerr,B,6191,19254,25445,41,https://txschools.net/district/divide-isd-133905
626,1162,0,182905,Strawn ISD,Palo Pinto,B,6214,11359,17573,172,https://txschools.net/district/strawn-isd-182905
627,1162,0,115903,Dell City ISD,Hudspeth,B,6218,29437,35655,75,https://txschools.net/district/dell-city-isd-115903
